model,article_index,actual,predicted,direction,confidence,subject,n_words,length_bucket,n_matched_features,mentions_reuters,reuters_tag,wire_dateline,title
Logistic Regression,13283,fake,real,false REAL,0.7791621457327649,politics,308,200-499,88,False,False,False,"How Is Panama’s “Migrant Crisis” Giving A FREE PASS TO THE U.S. To Anyone From Asia, Cuba, Africa, Haiti…When Did We Become The World’s Dumping Ground?"
Logistic Regression,28109,real,fake,false FAKE,0.7606706492241061,politicsNews,250,200-499,72,True,True,True,¿Qué bolá? Obama jokes with Cuban humorist in video
Logistic Regression,14051,fake,real,false REAL,0.7590843756363045,politics,514,500-999,179,False,False,False,NEW LAW WILL PUNISH MUSLIM Migrants…Assimilate Or Get Out!
Logistic Regression,11745,fake,real,false REAL,0.740626877970578,politics,593,500-999,213,False,False,False,BREAKING: IRAN Tests Cruise Missile…Trump WARNS…They’re “Playing with fire…They don’t appreciate how ‘kind’ President Obama was to them. Not Me!” [VIDEO]
Logistic Regression,7638,fake,real,false REAL,0.7401778540281242,News,422,200-499,162,True,False,False, The World Speaks Out On Trump — Top Foreign Diplomats Unite Against Him
Logistic Regression,15825,fake,real,false REAL,0.7385205446419997,politics,251,200-499,88,False,False,False,CUBA STILL A COMMIE HELLHOLE AFTER OBAMA’S “NORMALIZATION”: 4 YEARS IN THE SLAMMER FOR “SOCIAL DANGEROUSNESS”
Logistic Regression,38764,real,fake,false FAKE,0.7279901224718461,worldnews,439,200-499,107,True,True,True,Mother's fight to discover fate of dead baby's body finds empty coffin
Logistic Regression,25192,real,fake,false FAKE,0.7273081687794343,politicsNews,1326,1000+,392,True,False,False,"Expert Views: What will be the impact of Trump presidency on immigration, refugees?"
Logistic Regression,11157,fake,real,false REAL,0.7226288552767404,politics,355,200-499,120,False,False,False,MUSLIMS OUTRAGED: MUNICH ARTIST DISPLAYS “Funny” Racy Bare-Legged “Burka Barbies” [Video]
Logistic Regression,25779,real,fake,false FAKE,0.720190373667168,politicsNews,841,500-999,220,False,False,False,Commentary: Manic or evasive - these veep guys sure don’t feel like leaders
Logistic Regression,10178,fake,real,false REAL,0.7193179999506601,politics,507,500-999,149,False,False,False,OKLAHOMA Supreme Court Rules Punishing Smokers With Cigarette Tax “Unconstitutional”…Lawmakers Forced To Fill SHOCKING Hole In State Budget
Logistic Regression,33298,real,fake,false FAKE,0.708326252722465,worldnews,415,200-499,123,True,True,True,Hungarians take walking tour to overcome fears of Muslims
Logistic Regression,16405,fake,real,false REAL,0.7061462518615618,Government News,302,200-499,74,False,False,False,IRANIAN NAVY FIRES WARNING SHOTS ON AND SEIZES CARGO SHIP; U.S. NAVY SENDS DESTROYER
Logistic Regression,15227,fake,real,false REAL,0.6964818334891287,politics,259,200-499,83,True,False,False,"IN A RULING THAT WILL MAKE OBAMA’S HEAD SPIN, Fed Judge Says Telling Illegals “Show Us Your Papers” Is Not Discriminatory"
Logistic Regression,25958,real,fake,false FAKE,0.6963719387357128,politicsNews,488,200-499,146,True,True,True,"Trump gets skewered, Clinton finds support at TV's Emmy awards"
Logistic Regression,13171,fake,real,false REAL,0.6950024618951625,politics,194,50-199,67,False,False,False,EPIPEN CEO UNDER FIRE FOR PRICE GOUGING Is Daughter Of US Senator
Logistic Regression,27001,real,fake,false FAKE,0.6935542157309005,politicsNews,182,50-199,72,True,True,True,"Trump, on CNN, faults Muslim community for not reporting people like Orlando shooter"
Logistic Regression,9550,fake,real,false REAL,0.6896560153334621,politics,518,500-999,150,False,False,False,JUST IN: Senior GOP Rep Announces His Retirement…A BIG LOSS
Logistic Regression,26858,real,fake,false FAKE,0.6782890463786874,politicsNews,436,200-499,138,True,True,False,Democrat gun control sit-in sparks social media sensation
Logistic Regression,14996,fake,real,false REAL,0.6727755989945143,politics,318,200-499,115,False,False,False,WOW! Just When We Thought Obama’s Global Relationships Couldn’t Get Any Worse…Europe Threatens This…
Logistic Regression,10147,fake,real,false REAL,0.6662845361123421,politics,267,200-499,68,False,False,False,"NORTH KOREA BLINKS After Threats From POTUS and “Mad Dog” Mattis: “If they do that, then it’s game on”"
Logistic Regression,13623,fake,real,false REAL,0.6635783185319489,politics,457,200-499,147,False,False,False,ICELAND’S STUNNING ELECTION OF ANTI-ESTABLISHMENT Political Novice Should Have Hillary Shaking In Her Pants Suit
Logistic Regression,22389,real,fake,false FAKE,0.6561185238926204,politicsNews,39,<50,19,True,True,False,ADVISORY: Story on Kushner visiting Iraq withdrawn
Logistic Regression,14376,fake,real,false REAL,0.6500786509285063,politics,1254,1000+,249,False,False,False,DELEGATES FOR DUMMIES: How They’re Awarded…And How Many Your Candidate Needs To Win [VIDEO]
Logistic Regression,25464,real,fake,false FAKE,0.6465614034681566,politicsNews,357,200-499,120,True,True,True,Ku Klux Klan newspaper declares support for Trump
Logistic Regression,9092,fake,real,false REAL,0.6451313374893796,politics,747,500-999,199,False,False,False,JUST IN: TRUMP ENDS FREE MONEY TRAIN After Pakistan Refuses To Stop Housing Terrorists…Cuts STUNNING About Of Military Aid 
Logistic Regression,10716,fake,real,false REAL,0.6436174931198582,politics,380,200-499,104,False,False,False,BOOM! 4 VENUES CANCEL KATHY GRIFFIN Appearances After She Blames Trump For Her Career Ending Decision To Pose With His Severed Head
Logistic Regression,16380,fake,real,false REAL,0.6366143513042765,Government News,251,200-499,72,False,False,False,"BREAKING: THIEVES STEAL IRS INFO FROM 100,000 TAXPAYERS"
Logistic Regression,27844,real,fake,false FAKE,0.6356748292760406,politicsNews,229,200-499,80,True,True,True,Chicago finance committee approves payouts for police custody deaths
Logistic Regression,12201,fake,real,false REAL,0.6205893790163632,politics,783,500-999,171,False,False,False,BREAKING: MI Court Of Appeals Orders Vote Recount To STOP…Jill Stein’s Democrat Activist Attorney Says Count Must Go On
Logistic Regression,15572,fake,real,false REAL,0.6166102160044978,politics,693,500-999,202,False,False,False,ARMY THREATENS GREEN BERET WAR HERO WITH COURT MARTIAL For Whistleblowing On Failed Hostage Rescue
Logistic Regression,10233,fake,real,false REAL,0.6109542839080077,politics,192,50-199,68,False,False,False,AG JEFF SESSIONS Warns Leakers…Taking Steps to Stop the Leaks that “Hurt Our Country” [Video]
Logistic Regression,10603,fake,real,false REAL,0.6088443936928897,politics,338,200-499,114,False,False,False,"DEM PARTY OFFICIAL, Chair Of Black Caucus, Bernie Sanders Supporter Calls Reactions To Shooting Of Republican Steve Scalise, “So Funny”…REFUSES To Resign"
Logistic Regression,15992,fake,real,false REAL,0.6061460582545505,Government News,385,200-499,128,False,False,False,HOUSE TAKES Measures To Impeach IRS Chief After Stubborn Refusal To Cooperate…Who Do These People Think They Are? The IRS?
Logistic Regression,27644,real,fake,false FAKE,0.6053226308873189,politicsNews,444,200-499,106,True,True,True,U.S. justices mull propriety of recalling discharged jury to duty
Logistic Regression,10320,fake,real,false REAL,0.6029534024425125,politics,583,500-999,163,False,False,False,HEARTBREAKING: Baby Charlie Gard’s Parents End Legal Battle to Come to the US [Video]
Logistic Regression,11253,fake,real,false REAL,0.5991236985306854,politics,311,200-499,133,False,False,False,REPORT: FBI DIRECTOR COMEY Blocked By Obama Administration Last Summer On Supposed Russian “Influence” In 2016 Election
Logistic Regression,16131,fake,real,false REAL,0.5932896767820826,Government News,135,50-199,35,False,False,False,"BAN THE BURQA! Women Wearing A Burqa In Switzerland Could Face $9,000 Fine"
Logistic Regression,10965,fake,real,false REAL,0.593191134798001,politics,339,200-499,70,False,False,False,WOW! HERE’S THE LIST Of Obamacare Taxes Abolished By The House…Reduces Taxes By Over $1 TRILLION
Logistic Regression,12757,fake,real,false REAL,0.5919017909139822,politics,247,200-499,100,False,False,False,WIKILEAKS EXPOSES Clinton Campaign In Cahoots With Corrupt DOJ On Email Scandal
Logistic Regression,25033,real,fake,false FAKE,0.5898311475638616,politicsNews,384,200-499,111,True,True,False,"Factbox: The nasty things Trump, Romney have said about each other"
Logistic Regression,15524,fake,real,false REAL,0.5865165663453628,politics,567,500-999,160,False,False,False,TRUMP RESPONSE TO LEFTIST THREATS: “Get Off My Lawn”
Logistic Regression,9348,fake,real,false REAL,0.5859291250569204,politics,380,200-499,115,False,False,False,SOUTH KOREA Uses Hilarious Technique To TAUNT North Korea After Soldier Escapes Kim Jong Un’s Hell [VIDEO]
Logistic Regression,22275,real,fake,false FAKE,0.5815425876703094,politicsNews,622,500-999,199,True,True,False,Instant View: Trump orders military strikes on Syrian air base
Logistic Regression,16211,fake,real,false REAL,0.5752480197485029,Government News,721,500-999,193,False,False,False,CANADA’S OBAMA? WATCH New Prime Minister Call Himself A “Proud Feminist”…Promises To Raise Taxes On Wealthy And Welcome More Syrian “Refugees” [Video]
Logistic Regression,22952,real,fake,false FAKE,0.5752438820544505,politicsNews,430,200-499,108,True,True,True,Massa fastest as testing resumes in Barcelona
Logistic Regression,12219,fake,real,false REAL,0.5721079481469205,politics,305,200-499,115,False,False,False,BREAKING: OBAMA-APPOINTED JUDGE ORDERS Vote Recount To Begin At Noon On Monday
Logistic Regression,15787,fake,real,false REAL,0.5715226953616911,politics,423,200-499,101,False,False,False,HE WAS WARNED AGAINST NEGOTIATING WITH TERRORISTS: Iran Says They Won’t Permit Foreigners “to inspect the most normal military site in their dreams.”
Logistic Regression,1679,fake,real,false REAL,0.5677862283605981,News,536,500-999,188,False,False,False, Court Slams Down Trump’s Order Blocking Funding To Sanctuary Cities
Logistic Regression,10357,fake,real,false REAL,0.5657525490007981,politics,518,500-999,148,False,False,False,DETROIT: IMMIGRANT STEALS $132 MILLION From Medicare…Owns $7 Million Mansion With Indoor Basketball Court…Defense Lawyer Mohammed Nasser Says He’s “Not a flight risk”
Logistic Regression,14788,fake,real,false REAL,0.5582766152912161,politics,393,200-499,97,False,False,False,OHIO SEC OF STATE Explains How He Will Prevent Trump From Running Third Party
Logistic Regression,15733,fake,real,false REAL,0.5533556980514166,politics,245,200-499,81,False,False,False,CLINTON GRIFTERS UNDER SCRUTINY: CLINTON GLOBAL INITIATIVE DUMPED BY EXXON MOBIL
Logistic Regression,25499,real,fake,false FAKE,0.5528822360683213,politicsNews,679,500-999,191,True,True,True,Factbox - How Carlos Danger got tangled up in the Clinton email scandal
Logistic Regression,17729,fake,real,false REAL,0.5525540115458197,US_News,372,200-499,105,False,False,False,Brief Overview: US Military Sales to Lebanon
Logistic Regression,12080,fake,real,false REAL,0.5506286551386217,politics,307,200-499,79,False,False,False,PRESIDENT-ELECT TRUMP’S INAUGURAL COMMITTEE Announces Schedule Of Events
Logistic Regression,28910,real,fake,false FAKE,0.550359033758308,politicsNews,1271,1000+,281,True,True,True,Campaigning in style: How Jeb Bush blew through his war chest 
Logistic Regression,20961,real,fake,false FAKE,0.5475756132618428,politicsNews,434,200-499,142,True,True,False,Pew U.S. survey finds agreement on some gun-control proposals
Logistic Regression,28949,real,fake,false FAKE,0.54658865246756,politicsNews,456,200-499,137,True,True,False,Trump polls Twitter about 'biased' Fox debate moderator Kelly
Logistic Regression,16267,fake,real,false REAL,0.5446870435923814,Government News,413,200-499,123,False,False,False,MILITARY LEADERS SPEAK UP: IRAN DEAL MAKES WAR MORE LIKELY
Logistic Regression,417,fake,real,false REAL,0.5445932718513429,News,372,200-499,139,True,False,False, BREAKING: Under Trump’s Leadership FEMA Could Run Out Of Money By Tomorrow
Logistic Regression,11240,fake,real,false REAL,0.5445741632706855,politics,137,50-199,51,False,False,False,TWO DEMOCRATS Announce Plan To Vote For Neil Gorsuch For Supreme Court [Video]
Logistic Regression,32864,real,fake,false FAKE,0.5439795803813499,worldnews,537,500-999,144,True,True,True,Venezuelan crisis spawns boom in gambling
Logistic Regression,15909,fake,real,false REAL,0.543589746162922,Government News,249,200-499,65,False,False,False,MAN WHO ROBBED A BANK To Get Away From His Wife Gets The Ultimate Punishment
Logistic Regression,25971,real,fake,false FAKE,0.5401023103585161,politicsNews,493,200-499,166,True,True,False,Popular Michelle Obama courts young people for Clinton
Logistic Regression,9172,fake,real,false REAL,0.5392831291498318,politics,573,500-999,150,False,False,False,JUST IN: Fusion GPS Sued By 3 Billionaires Over Their “Defamation” In War Against Trump
Logistic Regression,15826,fake,real,false REAL,0.5391033768367635,politics,320,200-499,99,False,False,False,THEIR EVIL KNOWS NO BOUNDS: TALIBAN EXECUTES 5 “SAVE THE CHILDREN WORKERS” AS ISIS KIDNAPS 120 SCHOOLCHILDREN TO BE TRAINED AS TERRORISTS
Logistic Regression,15251,fake,real,false REAL,0.5368048652261773,politics,522,500-999,136,False,False,False,SERIOUSLY? Mexico Is Threatening Texas With A Law Suit?
Logistic Regression,15005,fake,real,false REAL,0.5364531453723194,politics,515,500-999,117,False,False,False,UK SAYS “NO” TO ECONOMIC MIGRANTS: Shocking Video Shows How African “Refugees” Are Using Asylum Loophole To Move Around Europe
Logistic Regression,10902,fake,real,false REAL,0.5268718714993444,politics,773,500-999,202,False,False,False,PRESIDENT TRUMP WARNS Comey…Tweets Veiled Threat To Former FBI Director
Logistic Regression,15934,fake,real,false REAL,0.5266126167219187,Government News,230,200-499,86,False,False,False,BAM! Commie Scammer Mustafa Ali…The EPA’s “Environmental Justice” GURU Is GONE! [Video]
Logistic Regression,9637,fake,real,false REAL,0.5256590671017843,politics,954,500-999,227,True,False,False,AUDIT REVEALS: 150 AFGHAN TROOPS Have Gone AWOL In U.S. During Training…Some Still Missing
Logistic Regression,16954,fake,real,false REAL,0.5216756278966898,left-news,251,200-499,68,False,False,False,"KARMA: Manufactured Race War Backfires…Missou Loses Top Football Recruit, Says “Their campus is out of control.”"
Logistic Regression,10516,fake,real,false REAL,0.5215248011853082,politics,213,200-499,93,True,False,False,TRUMP ADVISOR Has Warning For Syria That Has Saved Lives [Video]
Logistic Regression,16286,fake,real,false REAL,0.5200464302662668,Government News,730,500-999,203,False,False,False,"ATTORNEYS ASK TO DIAL BACK SECURITY AT TRIAL FOR 7 TERROR SUSPECTS IN MN, Fears It Will Influence Jury: Argues ISIL Not A Terrorist Group"
Logistic Regression,17039,fake,real,false REAL,0.5171931764673698,left-news,301,200-499,72,False,False,False,POPE TAKES COMMUNIST CRUCIFIX GIFT HOME: Says He Was Not Offended By It [VIDEO]
Logistic Regression,15168,fake,real,false REAL,0.5164950447159339,politics,549,500-999,146,False,False,False,POPE MAKES VISIT TO NUNS OBAMA REGIME IS SUING For Not Conforming To Obamacare Contraception Mandate
Logistic Regression,22553,real,fake,false FAKE,0.5139996626641622,politicsNews,307,200-499,107,True,True,False,Trump on Obamacare repeal: from boasts of greatness to lessons learned
Logistic Regression,37901,real,fake,false FAKE,0.513245846853247,worldnews,214,200-499,68,True,True,True,UK police release new image of jogger in London bus mystery
Logistic Regression,16568,fake,real,false REAL,0.5031680784617142,left-news,339,200-499,107,False,False,False,"CHINESE IMMIGRANT BEHEADS, CANNIBALIZES Total Stranger On Greyhound Bus…Granted TOTAL FREEDOM…NO Monitoring Necessary"
Logistic Regression,13686,fake,real,false REAL,0.5019836921762854,politics,386,200-499,101,False,False,False,NOT NEWS: 7 DEAD…35 Wounded In Obama’s Hometown In 2 Days…WATCH: BLACK CHICAGO RESIDENTS Blame Barack Obama [VIDEO]
Logistic Regression,15427,fake,real,false REAL,0.5012255401280976,politics,715,500-999,193,False,False,False,NEWSFLASH FOR OUR IMPERIAL PRESIDENT: STATES CAN REFUSE IRAN DEAL [Video]
Naive Bayes,17285,fake,real,false REAL,0.9998193408002001,US_News,1091,1000+,305,False,False,False,NORTH KOREA: Trump’s Recklessness Could Trigger All-Out Conflict on Korean Peninsula
Naive Bayes,10277,fake,real,false REAL,0.9997069358341947,politics,1184,1000+,323,False,False,False,EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland
Naive Bayes,14743,fake,real,false REAL,0.9973018890279568,politics,1827,1000+,434,True,False,False,"IS OBAMA’S RADICAL AGENDA Responsible For State Department’s Misleading Report On Forced Labor, Prostitution And Human Slavery?"
Naive Bayes,25958,real,fake,false FAKE,0.9921958477590163,politicsNews,488,200-499,146,True,True,True,"Trump gets skewered, Clinton finds support at TV's Emmy awards"
Naive Bayes,17296,fake,real,false REAL,0.9910862500622278,US_News,857,500-999,238,False,False,False,"US Coalition Airstrike on Syrian Army in Al-Tanf is Another Calculated War Crime, Aims to Destroy Arab Unity"
Naive Bayes,9130,fake,real,false REAL,0.9906243889467152,politics,623,500-999,188,False,False,False,MARINE CORPS GENERAL WARNS U.S. TROOPS: “There’s A War Coming”
Naive Bayes,14051,fake,real,false REAL,0.9889293654666439,politics,514,500-999,179,False,False,False,NEW LAW WILL PUNISH MUSLIM Migrants…Assimilate Or Get Out!
Naive Bayes,9692,fake,real,false REAL,0.9881785383691288,politics,581,500-999,162,False,False,False,CONGRESS WARNED Threat of Nuclear EMP Attack Has Never Been Higher: “N. Korean EMP Attack Would Kill ‘90% of All Americans’
Naive Bayes,9348,fake,real,false REAL,0.9875961960868785,politics,380,200-499,115,False,False,False,SOUTH KOREA Uses Hilarious Technique To TAUNT North Korea After Soldier Escapes Kim Jong Un’s Hell [VIDEO]
Naive Bayes,15427,fake,real,false REAL,0.9872153575385713,politics,715,500-999,193,False,False,False,NEWSFLASH FOR OUR IMPERIAL PRESIDENT: STATES CAN REFUSE IRAN DEAL [Video]
Naive Bayes,11745,fake,real,false REAL,0.986002048093373,politics,593,500-999,213,False,False,False,BREAKING: IRAN Tests Cruise Missile…Trump WARNS…They’re “Playing with fire…They don’t appreciate how ‘kind’ President Obama was to them. Not Me!” [VIDEO]
Naive Bayes,17121,fake,real,false REAL,0.9859562837498672,US_News,828,500-999,223,False,False,False,How Trump is Accelerating the Decline of US Global Influence
Naive Bayes,24958,real,fake,false FAKE,0.985477156572309,politicsNews,433,200-499,173,True,True,False,Conservatives bristle as Trump backs off Clinton prosecution
Naive Bayes,28906,real,fake,false FAKE,0.9851408838546016,politicsNews,970,500-999,300,True,True,True,Trump steps up attacks with 'bimbo' tweet before Fox News debate
Naive Bayes,19622,real,fake,false FAKE,0.9844709773735627,politicsNews,329,200-499,129,True,True,True,Trump says violence by anti-fascists proves him right on Charlottesville
Naive Bayes,26554,real,fake,false FAKE,0.9833937903963577,politicsNews,818,500-999,216,True,True,True,Melania Trump's speech has an echo of Michelle Obama words
Naive Bayes,12208,fake,real,false REAL,0.9808840373356315,politics,243,200-499,97,False,False,False,"ANGELA MERKEL Running For Re-Election Makes Stunning Announcement To BAN BURKAS, After Flooding Nation With 2 Million (Mostly Muslim) Migrants"
Naive Bayes,20675,real,fake,false FAKE,0.9804215875496488,politicsNews,576,500-999,196,True,True,True,Kid Rock hints online he will run for U.S. Senate
Naive Bayes,17171,fake,real,false REAL,0.9797507753374028,US_News,2120,1000+,459,False,False,False,Reflections on a World Gone Mad and Pushing Back against Neocolonialist Thuggery
Naive Bayes,20064,real,fake,false FAKE,0.9789737216356175,politicsNews,541,500-999,165,True,True,False,"Charlottesville schools, parents address children's fears after violence"
Naive Bayes,17729,fake,real,false REAL,0.9780330800725783,US_News,372,200-499,105,False,False,False,Brief Overview: US Military Sales to Lebanon
Naive Bayes,13283,fake,real,false REAL,0.9760110528989803,politics,308,200-499,88,False,False,False,"How Is Panama’s “Migrant Crisis” Giving A FREE PASS TO THE U.S. To Anyone From Asia, Cuba, Africa, Haiti…When Did We Become The World’s Dumping Ground?"
Naive Bayes,17646,fake,real,false REAL,0.9758876659663217,US_News,1991,1000+,486,False,False,False,"US-Saudi Plan: Let 9,000 ISIS Fighters Walk Free from Mosul – to Fight in Syria"
Naive Bayes,12652,fake,real,false REAL,0.9756102253432856,politics,1038,1000+,342,False,False,False,28 THINGS TRUMP PROMISES To Do As President…A Must Read For ALL Voters!
Naive Bayes,13355,fake,real,false REAL,0.9750399814273247,politics,547,500-999,165,False,False,False,YOU LIE! OBAMA SECRETLY PAID $400 MILLION Ransom To IRAN For Release Of Americans…BRAGGED About “Diplomatic Breakthrough” With Iran
Naive Bayes,28994,real,fake,false FAKE,0.974276520402127,politicsNews,1017,1000+,281,True,True,False,"Factbox: Trump seen from Davos: 'unbelievable', 'embarrassing' but candor 'hit a vein'"
Naive Bayes,27939,real,fake,false FAKE,0.9742244225387849,politicsNews,966,500-999,275,True,True,True,Bernie Sanders' ghost tweeter keeps his Brooklyn accent
Naive Bayes,28691,real,fake,false FAKE,0.9734878130655206,politicsNews,919,500-999,249,True,True,False,"From a river town in Slovenia to Trump Tower, and the White House?"
Naive Bayes,19980,real,fake,false FAKE,0.9703061203292692,politicsNews,721,500-999,227,True,True,True,Prominent U.S. religious conservatives defend Trump after Charlottesville
Naive Bayes,11185,fake,real,false REAL,0.9699202091882748,politics,193,50-199,68,False,False,False,SEC OF STATE REX TILLERSON: “Steps Are Under Way” To Remove Syria’s Bashar al-Assad…“Russian Government” Should “Consider Carefully Continued Support For Assad Regime” [VIDEO]
Naive Bayes,26544,real,fake,false FAKE,0.9697048761231611,politicsNews,1022,1000+,275,True,True,True,Trump employee apologizes for Melania speech 'chaos'
Naive Bayes,15005,fake,real,false REAL,0.969643850628187,politics,515,500-999,117,False,False,False,UK SAYS “NO” TO ECONOMIC MIGRANTS: Shocking Video Shows How African “Refugees” Are Using Asylum Loophole To Move Around Europe
Naive Bayes,15836,fake,real,false REAL,0.967565377693165,politics,671,500-999,193,True,False,False,EGYPTIAN COURT SENTENCES MUSLIM BROTHERHOOD LEADER AND 13 OTHERS TO DEATH AND LEADER’S “Peaceful” U.S.-Egyptian Brother To Life In Prison
Naive Bayes,21584,real,fake,false FAKE,0.9668823386069472,politicsNews,837,500-999,280,True,True,True,"For Trump's defenders, White House turmoil is politics as usual"
Naive Bayes,9092,fake,real,false REAL,0.9661106327207412,politics,747,500-999,199,False,False,False,JUST IN: TRUMP ENDS FREE MONEY TRAIN After Pakistan Refuses To Stop Housing Terrorists…Cuts STUNNING About Of Military Aid 
Naive Bayes,28194,real,fake,false FAKE,0.9649630551225041,politicsNews,432,200-499,134,True,True,False,Graphic account of Hulk Hogan sex tape read in Florida court
Naive Bayes,25968,real,fake,false FAKE,0.9631321176633528,politicsNews,463,200-499,164,True,True,True,Trump proposes disarming Clinton guards: 'Let's see what happens to her'
Naive Bayes,28949,real,fake,false FAKE,0.962295849931534,politicsNews,456,200-499,137,True,True,False,Trump polls Twitter about 'biased' Fox debate moderator Kelly
Naive Bayes,27790,real,fake,false FAKE,0.9622844143815404,politicsNews,381,200-499,114,True,True,False,Trump's 'Paterno' comment sparks jeers on social media
Naive Bayes,16267,fake,real,false REAL,0.9617484746540358,Government News,413,200-499,123,False,False,False,MILITARY LEADERS SPEAK UP: IRAN DEAL MAKES WAR MORE LIKELY
Naive Bayes,10822,fake,real,false REAL,0.9590822786437921,politics,218,200-499,82,False,False,False,LIVE STREAM: PRESIDENT TRUMP’S Historic Speech To The Muslim World: “Honestly confronting Islamist extremism” [Video]
Naive Bayes,25971,real,fake,false FAKE,0.9582321083416481,politicsNews,493,200-499,166,True,True,False,Popular Michelle Obama courts young people for Clinton
Naive Bayes,14588,fake,real,false REAL,0.9579787818978861,politics,503,500-999,141,False,False,False,WARNING: FEDS PREDICT $30 TRILLION DOLLAR DEBT Because Of These Two Key Things
Naive Bayes,29059,real,fake,false FAKE,0.957187042818221,politicsNews,472,200-499,159,True,True,False,Trump fans in Iowa cheer his debate performance
