article_index,actual,models_wrong,n_models_wrong,subject,n_words,n_matched_features,mentions_reuters,title
16282,fake,nb+svm+lr,3,Government News,1406,321,False,FOLLOW THE MONEY: MEXICAN GIVEAWAY OF MILLIONS OF FLAT SCREEN TV’S TO THE POOR RAISES QUESTIONS
14588,fake,nb+svm+lr,3,politics,503,141,False,WARNING: FEDS PREDICT $30 TRILLION DOLLAR DEBT Because Of These Two Key Things
7638,fake,nb+svm+lr,3,News,422,162,True, The World Speaks Out On Trump — Top Foreign Diplomats Unite Against Him
10233,fake,nb+svm+lr,3,politics,192,68,False,AG JEFF SESSIONS Warns Leakers…Taking Steps to Stop the Leaks that “Hurt Our Country” [Video]
10277,fake,nb+svm+lr,3,politics,1184,323,False,EXPERT CLAIMS N. KOREA’S SECOND MISSILE Test Demonstrates They Now Have Ability To Hit 3 Major Cities On U.S. Mainland
12208,fake,nb+svm+lr,3,politics,243,97,False,"ANGELA MERKEL Running For Re-Election Makes Stunning Announcement To BAN BURKAS, After Flooding Nation With 2 Million (Mostly Muslim) Migrants"
11253,fake,nb+svm+lr,3,politics,311,133,False,REPORT: FBI DIRECTOR COMEY Blocked By Obama Administration Last Summer On Supposed Russian “Influence” In 2016 Election
17285,fake,nb+svm+lr,3,US_News,1091,305,False,NORTH KOREA: Trump’s Recklessness Could Trigger All-Out Conflict on Korean Peninsula
28194,real,nb+svm+lr,3,politicsNews,432,134,True,Graphic account of Hulk Hogan sex tape read in Florida court
27590,real,nb+svm+lr,3,politicsNews,129,62,False,Jenner uses women's restroom at Trump property
25033,real,nb+svm+lr,3,politicsNews,384,111,True,"Factbox: The nasty things Trump, Romney have said about each other"
25560,real,nb+svm+lr,3,politicsNews,675,196,True,Highlights from Reuters' exclusive interview with Donald Trump
27844,real,nb+svm+lr,3,politicsNews,229,80,True,Chicago finance committee approves payouts for police custody deaths
24958,real,nb+svm+lr,3,politicsNews,433,173,True,Conservatives bristle as Trump backs off Clinton prosecution
23222,real,nb+svm+lr,3,politicsNews,408,129,True,Suppressing free press is 'how dictators get started': Senator McCain
25779,real,nb+svm+lr,3,politicsNews,841,220,False,Commentary: Manic or evasive - these veep guys sure don’t feel like leaders
28994,real,nb+svm+lr,3,politicsNews,1017,281,True,"Factbox: Trump seen from Davos: 'unbelievable', 'embarrassing' but candor 'hit a vein'"
22952,real,nb+svm+lr,3,politicsNews,430,108,True,Massa fastest as testing resumes in Barcelona
21665,real,nb+svm+lr,3,politicsNews,115,51,True,Russia's response to Trump leak reports: don't read U.S. newspapers
21433,real,nb+svm+lr,3,politicsNews,544,128,True,"Before the White House, Kennedy was a high-school prankster"
33298,real,nb+svm+lr,3,worldnews,415,123,True,Hungarians take walking tour to overcome fears of Muslims
33525,real,nb+svm+lr,3,worldnews,537,116,True,A Picture and its Story: Reaching out to rescue a Rohingya woman
38764,real,nb+svm+lr,3,worldnews,439,107,True,Mother's fight to discover fate of dead baby's body finds empty coffin
17729,fake,nb+lr,2,US_News,372,105,False,Brief Overview: US Military Sales to Lebanon
17039,fake,svm+lr,2,left-news,301,72,False,POPE TAKES COMMUNIST CRUCIFIX GIFT HOME: Says He Was Not Offended By It [VIDEO]
9550,fake,nb+lr,2,politics,518,150,False,JUST IN: Senior GOP Rep Announces His Retirement…A BIG LOSS
15909,fake,svm+lr,2,Government News,249,65,False,MAN WHO ROBBED A BANK To Get Away From His Wife Gets The Ultimate Punishment
16380,fake,svm+lr,2,Government News,251,72,False,"BREAKING: THIEVES STEAL IRS INFO FROM 100,000 TAXPAYERS"
15524,fake,svm+lr,2,politics,567,160,False,TRUMP RESPONSE TO LEFTIST THREATS: “Get Off My Lawn”
15787,fake,nb+lr,2,politics,423,101,False,HE WAS WARNED AGAINST NEGOTIATING WITH TERRORISTS: Iran Says They Won’t Permit Foreigners “to inspect the most normal military site in their dreams.”
10357,fake,nb+lr,2,politics,518,148,False,DETROIT: IMMIGRANT STEALS $132 MILLION From Medicare…Owns $7 Million Mansion With Indoor Basketball Court…Defense Lawyer Mohammed Nasser Says He’s “Not a flight risk”
10716,fake,svm+lr,2,politics,380,104,False,BOOM! 4 VENUES CANCEL KATHY GRIFFIN Appearances After She Blames Trump For Her Career Ending Decision To Pose With His Severed Head
16131,fake,nb+lr,2,Government News,135,35,False,"BAN THE BURQA! Women Wearing A Burqa In Switzerland Could Face $9,000 Fine"
13109,fake,nb+svm,2,politics,293,104,True,"#CrookedHillary’s Karma! NEW POLL Shows Trump Takes Lead In BLUE STATES: Michigan, Wisconsin, New Hampshire And Maine"
9092,fake,nb+lr,2,politics,747,199,False,JUST IN: TRUMP ENDS FREE MONEY TRAIN After Pakistan Refuses To Stop Housing Terrorists…Cuts STUNNING About Of Military Aid 
15934,fake,nb+lr,2,Government News,230,86,False,BAM! Commie Scammer Mustafa Ali…The EPA’s “Environmental Justice” GURU Is GONE! [Video]
14996,fake,nb+lr,2,politics,318,115,False,WOW! Just When We Thought Obama’s Global Relationships Couldn’t Get Any Worse…Europe Threatens This…
12201,fake,nb+lr,2,politics,783,171,False,BREAKING: MI Court Of Appeals Orders Vote Recount To STOP…Jill Stein’s Democrat Activist Attorney Says Count Must Go On
15826,fake,nb+lr,2,politics,320,99,False,THEIR EVIL KNOWS NO BOUNDS: TALIBAN EXECUTES 5 “SAVE THE CHILDREN WORKERS” AS ISIS KIDNAPS 120 SCHOOLCHILDREN TO BE TRAINED AS TERRORISTS
16568,fake,nb+lr,2,left-news,339,107,False,"CHINESE IMMIGRANT BEHEADS, CANNIBALIZES Total Stranger On Greyhound Bus…Granted TOTAL FREEDOM…NO Monitoring Necessary"
10516,fake,nb+lr,2,politics,213,93,True,TRUMP ADVISOR Has Warning For Syria That Has Saved Lives [Video]
1679,fake,nb+lr,2,News,536,188,False, Court Slams Down Trump’s Order Blocking Funding To Sanctuary Cities
10603,fake,svm+lr,2,politics,338,114,False,"DEM PARTY OFFICIAL, Chair Of Black Caucus, Bernie Sanders Supporter Calls Reactions To Shooting Of Republican Steve Scalise, “So Funny”…REFUSES To Resign"
13672,fake,svm+lr,2,politics,425,117,False,ARIZONA BIKERS ARE ABOUT To Become Violent “Dreamers” Worst Nightmare At Upcoming Phoenix Trump Rally
15005,fake,nb+lr,2,politics,515,117,False,UK SAYS “NO” TO ECONOMIC MIGRANTS: Shocking Video Shows How African “Refugees” Are Using Asylum Loophole To Move Around Europe
16211,fake,nb+lr,2,Government News,721,193,False,CANADA’S OBAMA? WATCH New Prime Minister Call Himself A “Proud Feminist”…Promises To Raise Taxes On Wealthy And Welcome More Syrian “Refugees” [Video]
12219,fake,nb+lr,2,politics,305,115,False,BREAKING: OBAMA-APPOINTED JUDGE ORDERS Vote Recount To Begin At Noon On Monday
15168,fake,nb+lr,2,politics,549,146,False,POPE MAKES VISIT TO NUNS OBAMA REGIME IS SUING For Not Conforming To Obamacare Contraception Mandate
16286,fake,nb+lr,2,Government News,730,203,False,"ATTORNEYS ASK TO DIAL BACK SECURITY AT TRIAL FOR 7 TERROR SUSPECTS IN MN, Fears It Will Influence Jury: Argues ISIL Not A Terrorist Group"
13623,fake,nb+lr,2,politics,457,147,False,ICELAND’S STUNNING ELECTION OF ANTI-ESTABLISHMENT Political Novice Should Have Hillary Shaking In Her Pants Suit
10965,fake,nb+lr,2,politics,339,70,False,WOW! HERE’S THE LIST Of Obamacare Taxes Abolished By The House…Reduces Taxes By Over $1 TRILLION
9637,fake,nb+lr,2,politics,954,227,True,AUDIT REVEALS: 150 AFGHAN TROOPS Have Gone AWOL In U.S. During Training…Some Still Missing
11240,fake,nb+lr,2,politics,137,51,False,TWO DEMOCRATS Announce Plan To Vote For Neil Gorsuch For Supreme Court [Video]
10147,fake,nb+lr,2,politics,267,68,False,"NORTH KOREA BLINKS After Threats From POTUS and “Mad Dog” Mattis: “If they do that, then it’s game on”"
15992,fake,nb+lr,2,Government News,385,128,False,HOUSE TAKES Measures To Impeach IRS Chief After Stubborn Refusal To Cooperate…Who Do These People Think They Are? The IRS?
10320,fake,nb+lr,2,politics,583,163,False,HEARTBREAKING: Baby Charlie Gard’s Parents End Legal Battle to Come to the US [Video]
2196,fake,nb+svm,2,News,436,151,False, Did Trump’s Former Campaign Manager Have People Killed? His Daughters Say He Did
16267,fake,nb+lr,2,Government News,413,123,False,MILITARY LEADERS SPEAK UP: IRAN DEAL MAKES WAR MORE LIKELY
11745,fake,nb+lr,2,politics,593,213,False,BREAKING: IRAN Tests Cruise Missile…Trump WARNS…They’re “Playing with fire…They don’t appreciate how ‘kind’ President Obama was to them. Not Me!” [VIDEO]
15427,fake,nb+lr,2,politics,715,193,False,NEWSFLASH FOR OUR IMPERIAL PRESIDENT: STATES CAN REFUSE IRAN DEAL [Video]
25192,real,svm+lr,2,politicsNews,1326,392,True,"Expert Views: What will be the impact of Trump presidency on immigration, refugees?"
25636,real,nb+svm,2,politicsNews,243,80,True,Ex-Red Sox pitcher mulls run against Senator Warren in Massachusetts
28949,real,nb+lr,2,politicsNews,456,137,True,Trump polls Twitter about 'biased' Fox debate moderator Kelly
25971,real,nb+lr,2,politicsNews,493,166,True,Popular Michelle Obama courts young people for Clinton
27194,real,nb+svm,2,politicsNews,442,121,True,Supreme Court rejects constitutional challenge to death penalty
25499,real,nb+lr,2,politicsNews,679,191,True,Factbox - How Carlos Danger got tangled up in the Clinton email scandal
28910,real,nb+lr,2,politicsNews,1271,281,True,Campaigning in style: How Jeb Bush blew through his war chest 
32864,real,nb+lr,2,worldnews,537,144,True,Venezuelan crisis spawns boom in gambling
22553,real,nb+lr,2,politicsNews,307,107,True,Trump on Obamacare repeal: from boasts of greatness to lessons learned
26858,real,nb+lr,2,politicsNews,436,138,True,Democrat gun control sit-in sparks social media sensation
37901,real,nb+lr,2,worldnews,214,68,True,UK police release new image of jogger in London bus mystery
25958,real,nb+lr,2,politicsNews,488,146,True,"Trump gets skewered, Clinton finds support at TV's Emmy awards"
20675,real,nb+svm,2,politicsNews,576,196,True,Kid Rock hints online he will run for U.S. Senate
27001,real,nb+lr,2,politicsNews,182,72,True,"Trump, on CNN, faults Muslim community for not reporting people like Orlando shooter"
27471,real,nb+svm,2,politicsNews,1185,318,False,Commentary: Party leaders often disliked their nominee. It’s the public vitriol that’s new.
22275,real,svm+lr,2,politicsNews,622,199,True,Instant View: Trump orders military strikes on Syrian air base
20961,real,nb+lr,2,politicsNews,434,142,True,Pew U.S. survey finds agreement on some gun-control proposals
25464,real,nb+lr,2,politicsNews,357,120,True,Ku Klux Klan newspaper declares support for Trump
24233,real,nb+svm,2,politicsNews,665,223,True,Democrats press U.S. housing nominee Carson on potential Trump conflicts
28109,real,nb+lr,2,politicsNews,250,72,True,¿Qué bolá? Obama jokes with Cuban humorist in video
27644,real,nb+lr,2,politicsNews,444,106,True,U.S. justices mull propriety of recalling discharged jury to duty
16241,fake,nb,1,Government News,342,108,False,BREAKING: Putin Tramples Obama’s Imaginary Red Line With Airstrikes In Syria
593,fake,nb,1,News,441,145,False, Donald Trump Doubles Down On Korea Threat; Says He Wasn’t Tough Enough
1474,fake,nb,1,News,405,135,False, Half The World’s Salmon Supply Threatened As Trump’s EPA Withdraws Alaskan Mining Restrictions
17437,fake,nb,1,US_News,1708,428,False,"OPEN SOCIETY: Soros-backed, Anti-Trump Immigration Protests ‘Sprung from Nowhere’ at Airports Across America"
16377,fake,nb,1,Government News,303,99,False,"(VIDEO) WATER WARS: OBAMA’S EPA POWER GRAB TO REGULATE PUDDLES, PONDS, AND JUST ABOUT ANYTHING THAT’S WET"
8738,fake,nb,1,News,454,143,True," President Obama Just Sent The Climate Change Industry Some Very, Very Bad News"
10775,fake,nb,1,politics,137,47,False,PRICELESS! Nancy Pelosi Complains Trump Not Visiting Countries in Alphabetical Order [Video]
15921,fake,nb,1,Government News,278,97,False,NEW DATA RELEASED: OBAMA ADMIN “Accidentally Collected Info” On Americans During Election
13686,fake,lr,1,politics,386,101,False,NOT NEWS: 7 DEAD…35 Wounded In Obama’s Hometown In 2 Days…WATCH: BLACK CHICAGO RESIDENTS Blame Barack Obama [VIDEO]
15251,fake,lr,1,politics,522,136,False,SERIOUSLY? Mexico Is Threatening Texas With A Law Suit?
17341,fake,nb,1,US_News,794,256,False,"John McCain Throws Tantrum, Decries Trump for ‘Letting Assad Stay’"
14451,fake,nb,1,politics,57,22,False,HERE IT IS: List Of Democrat Hypocrites Who Voted To Filibuster GW Bush’s Final Supreme Court Pick
15515,fake,nb,1,politics,805,201,False,COINCIDENCE? CHOBANI SCORES MAJOR CONTRACT WITH MOOCH’S GOVERNMENT CONTROLLED SCHOOL LUNCH PROGRAM After Airing Naked Lesbian TV Ad To 3% Of Population [VIDEO]
1667,fake,nb,1,News,445,127,False, Trump Considers ‘Terminating NAFTA’ With Executive Order (DETAILS)
646,fake,nb,1,News,530,176,False, Report: Corrupt Wall Streeters Are Three Times More Likely To Go Unpunished Under Trump
9832,fake,nb,1,politics,648,230,False,REVEALED: HOW BARACK OBAMA IS FUNDING The “Resistance” Movement Against President Trump
9759,fake,nb,1,politics,472,154,False,PRESIDENT TRUMP WEIGHS Executive Order On WELFARE REFORM: If You’re an Able Bodied American Who Wants A Paycheck…Find A Job
16888,fake,nb,1,left-news,497,142,False,"SAUDI BILLIONAIRE Who Used Sharia Law To Make Fortune, Donates $10 MILLION To Yale University To Build Islamic Law Center"
6171,fake,nb,1,News,342,110,False, Report Exposes How Trump Dodged $20 Million In Taxes (PHOTO EVIDENCE)
4380,fake,nb,1,News,599,156,False, BUSTED: Donald Trump Screwed Over American Steel Workers By Buying Metal From China Instead
16893,fake,nb,1,left-news,416,123,False,OOPS! NASA Makes Shocking Claim: Burning Fossil Fuels “Cools Planet”
13910,fake,nb,1,politics,267,105,False,Does The $100 Million Given To Clintons By Gulf Sheikhs Disqualify Hillary For Candidacy?
15568,fake,nb,1,politics,683,177,False,HILLARY’S IMMORAL REIGN AS SEC. STATE: U.S. Sold $60 MILLION In Chemical Arms To Clinton Foundation Donors Used To Gas Citizens
6090,fake,nb,1,News,708,215,False, Kim Jong Un And North Korean Media Enthusiastically Want Trump To Become President
17197,fake,nb,1,US_News,1261,327,False,Undercutting the Nation State? Chicago Group Suggests ‘Global Cities’ Should Run World Affairs
12132,fake,nb,1,politics,14,8,False,OOPS! ATTORNEY GENERAL LYNCH Slips Up: No Sign Of ‘Technical Interference’ From The Russians
10181,fake,nb,1,politics,327,91,False,"WATCH: CNN DOES SEGMENT From Bunker In Hawaii, Tells Viewers Hawaii’s Been Preparing For Nuclear Strike Since Trump Took Office…CNN’s Best Survival Tip: “FIND A CAVE”"
5486,fake,nb,1,News,462,160,False, Collapse: ISIS Now Admits Obama’s Strategy Is DESTROYING Them
11371,fake,nb,1,politics,22,10,False,NIGEL FARAGE ON TRUMP/MERKEL POWWOW: Merkel’s decision for mass migration the “worst decision by European leader in 70 years” [Video]
15751,fake,nb,1,politics,347,97,False,GUESS WHERE THE BALTIMORE SCHOOL SYSTEM RANKS AMONG THE NATION’S 100 LARGEST SCHOOL DISTRICTS?
15761,fake,nb,1,politics,308,84,False,BREAKING ENERGY DEPARTMENT AUDIT REVEALS SHOCKING PRICE TAG AND LIABILITY FOR OBAMA’S GREEN ENERGY FAILURES
13355,fake,nb,1,politics,547,165,False,YOU LIE! OBAMA SECRETLY PAID $400 MILLION Ransom To IRAN For Release Of Americans…BRAGGED About “Diplomatic Breakthrough” With Iran
11897,fake,svm,1,politics,76,35,True,BRILLIANT NEWT GINGRICH: Here’s Why Trump Should NOT Trust Intel Community Right Now [Video]
16923,fake,nb,1,left-news,494,133,False,"SWEDEN LOSES 14,000 Refugees Slated For Deportation: “We simply do not know where they are”"
17664,fake,nb,1,US_News,2126,523,False,Hillary Clinton’s ‘Presidency’ has Already Begun as Lame Ducks Promote Her War on Syria
12258,fake,nb,1,politics,134,63,False,BREAKING: TRUMP PICKS Private Sector Titans For Trade And Commerce: ‘I did this because I believed in him’
11393,fake,nb,1,politics,556,178,False,JUST IN: Criminal Hackers Who Stole Data From 500 MILLION Yahoo Email Users Were RUSSIAN Agents Obama Regime INVITED To U.S…Courted By FBI
15733,fake,lr,1,politics,245,81,False,CLINTON GRIFTERS UNDER SCRUTINY: CLINTON GLOBAL INITIATIVE DUMPED BY EXXON MOBIL
15172,fake,nb,1,politics,104,37,False,HERE’S THE LIST Of Heartless Senators Who Voted Against Banning Late Term Abortions
13127,fake,nb,1,politics,397,131,False,OCTOBER 1st Could Mark End Of Free Speech On The Internet: How Obama Regime May Be Turning Control Of Internet Over To U.N.
10229,fake,nb,1,politics,334,91,False,AUDIT: Obama’s IRS ‘Misled’ Americans to Get Them to Sign Up for Obamacare
8717,fake,nb,1,News,792,229,False, Iran Proves Republicans Are Full Of Crap As United Nations Says Nuclear Deal Has Been Honored
9692,fake,nb,1,politics,581,162,False,CONGRESS WARNED Threat of Nuclear EMP Attack Has Never Been Higher: “N. Korean EMP Attack Would Kill ‘90% of All Americans’
13025,fake,nb,1,politics,290,104,False,BREAKING: OBAMA WILL VETO BILL Unanimously Passed By Congress Allowing 9-11 Victims To Sue Saudi Arabia
1072,fake,nb,1,News,361,106,True, Investigators Into US-Russia Ties Turn Attention To Flynn’s Business Partner
16933,fake,nb,1,left-news,152,54,False,Why 5 Of The Wealthiest Muslim Nations Refuse To Take A Single Refugee
11185,fake,nb,1,politics,193,68,False,SEC OF STATE REX TILLERSON: “Steps Are Under Way” To Remove Syria’s Bashar al-Assad…“Russian Government” Should “Consider Carefully Continued Support For Assad Regime” [VIDEO]
16071,fake,nb,1,Government News,659,180,False,TYRANNY: Obamaphone Fraud Kept Under Wraps Until Vote To Expand Program
9042,fake,nb,1,News,355,93,False, Here’s What The Fracking Industry Gave To Oklahoma In 2015 (IMAGES)
13959,fake,nb,1,politics,9,8,False,POLL: Who Should Donald Trump Choose For Vice President?
14203,fake,nb,1,politics,622,151,False,DONALD TRUMP WAS RIGHT AGAIN: U.S. Funds NATO In The Hundreds Of Billions
16371,fake,nb,1,Government News,956,252,False,AFGHAN INTERPRETER FOR US MURDERED BY TALIBAN WHILE WAITING 4 YRS FOR PROMISED VISA [Video]
17416,fake,nb,1,US_News,583,151,False,Two-thirds of US Navy Strike Fighter Jets Grounded: Navy Claims No Money to Fix Them
15636,fake,nb,1,politics,1574,354,False,VATICAN ADVISOR: Says Pope Will Call On World At UN To Join Crusade For a New World Order…Would Like US To Pay $845 BILLION GLOBAL TAX To Combat ‘Climate Change’
12027,fake,nb,1,politics,232,69,False,PUTIN PUSHES His Own Reset Button With America In A Very Surprising Move
614,fake,nb,1,News,463,164,False, It’s Happening: FBI Carries Out Predawn Raid On Trump Associate’s Home (DETAILS)
10658,fake,nb,1,politics,426,152,False,WINNING! COAL MINERS CHEER When President Trump Announces First Coal Mine Opening in 6 Years Video]
17646,fake,nb,1,US_News,1991,486,False,"US-Saudi Plan: Let 9,000 ISIS Fighters Walk Free from Mosul – to Fight in Syria"
12757,fake,lr,1,politics,247,100,False,WIKILEAKS EXPOSES Clinton Campaign In Cahoots With Corrupt DOJ On Email Scandal
17657,fake,nb,1,US_News,1945,466,False,"Diplomatic Frauds: Kerry, Power, Kirby Lying and Shilling for ‘Body Bags’ and War in Syria"
13635,fake,nb,1,politics,666,188,False,THE “OBAMA BOUNCE”: UKIP Leader Claims Obama’s Insulting Threat To UK Voters BACKFIRED…Actually Drove Voters To Support “Leave EU” Movement
1409,fake,nb,1,News,573,159,False, Trump’s FCC Will Decimate Internet Freedom (VIDEO)
11739,fake,nb,1,politics,703,215,False,BOOM! Fed Judge Ruling UNBLOCKS Trump Travel Ban…Asks ACLU Lawyer: “Where Does It Say Muslim Countries?”
12183,fake,nb,1,politics,1149,221,False,WOW! GEORGIA Refused Election Cyber-Support From Obama’s DHS…Now Sec Of State Demands Answers After Claiming DHS Tried To Breach His Office’s Firewall
13851,fake,nb,1,politics,300,98,False,DOJ Funneled Housing Crisis Money To Immigrant Activist Groups Like La Raza
6116,fake,nb,1,News,425,112,False," Missouri Legislators Took 32,138 Free Gifts From Lobbyists"
9130,fake,nb,1,politics,623,188,False,MARINE CORPS GENERAL WARNS U.S. TROOPS: “There’s A War Coming”
15184,fake,nb,1,politics,514,144,False,COME TO AMERICA…THEY’VE GOT MONEY GROWING ON TREES: U.S. To Provide Ridiculous Amount Of Services and Funds To Each Refugee
13503,fake,nb,1,politics,736,197,False,“ON DAY OF #NiceAttack Hillary Announces AMNESTY For Anyone Who Stealthily Evades Our Border Patrol”
12046,fake,nb,1,politics,381,130,False,NO MORE MR. NICE GUY: TRUMP Takes Off The Gloves…HAMMERS Obama On Twitter
16268,fake,nb,1,Government News,328,104,False,UNREAL! RETIRING SENATOR IS 34TH VOTE TO CLINCH OBAMA WIN ON IRAN DEAL
10188,fake,nb,1,politics,560,161,False,CANADA SENDS TROOPS TO U.S. BORDER To Deal With Illegals and Asylum Seekers Running From Trump’s New Policies On Immigration
10704,fake,nb,1,politics,259,99,False,PRESIDENT TRUMP Tweets Awesome Message to People of London…NBC REFUSES TO RETWEET
13835,fake,nb,1,politics,273,74,False,WHOA! CLINTON GRIFTERS BAGGED $100 Million From “Blood Minerals” Firm
11333,fake,nb,1,politics,167,70,False,WOW! HOUSE INTELLIGENCE Chair CONFIRMS Trump Was Correct…Trump Transition Team WAS Surveilled By Obama [VIDEO]
16341,fake,nb,1,Government News,357,132,False,"FEDS ISSUE TERROR ALERT FOR JULY 4TH…WAIT, I THOUGHT OBAMA SAID ISIS IS JUST A JV TEAM?!"
11774,fake,nb,1,politics,321,120,False,BOOM! CUSTOMS AGENTS IGNORE Obama Appointed Judge’s Court Order…ENFORCE Trump’s Travel Ban
16238,fake,nb,1,Government News,292,92,False,Obama’s Legacy Before American Safety: Feds Looking At Different States For GITMO Terrorists
1759,fake,nb,1,News,493,157,False," Mike Pence Just Dropped A TERRIFYING Bombshell On North Korea, Threatens War (VIDEO)"
1787,fake,nb,1,News,435,133,False," BREAKING: Trump Is Playing With Fire, And He Just Brought Us One Step Closer To Nuclear War"
1636,fake,nb,1,News,374,114,False, Trump’s Favorite New Dictator Just Cut Off Access To Wikipedia
15850,fake,nb,1,politics,247,92,False,BREAKING: COURAGEOUS FEDERAL JUDGE DENIES OBAMA’S REQUEST TO LIFT STAY ON EXECUTIVE AMNESTY
9873,fake,nb,1,politics,450,135,False,BREAKING: Trump Was Right! Trump Campaign Manager Wiretapped
1625,fake,nb,1,News,361,92,False, Trump Administration Just Pressured Argentina Into Not Honoring Jimmy Carter With An Award
16157,fake,nb,1,Government News,509,158,False,CONGRESSMAN SOUNDS ALERT TO CYBER SNOOPING LAW SNUCK INTO BUDGET BILL
16173,fake,nb,1,Government News,174,53,False,“Unvetted” Illegals Turn Germany Into A Third-World Trash Heap…Sound Familiar? [Video]
17450,fake,nb,1,US_News,239,103,False,Trump Moves Ahead with ‘The Wall’ Between US and Mexico
17282,fake,nb,1,US_News,960,277,False,Hersh: Trump Knew ‘Assad Sarin Attack’ Story Was Fairy Tale – But Launched Cruise Missile Strike Anyway
13518,fake,nb,1,politics,277,91,False,SAY “HELLO” TO YOUR NEW NEIGHBORS! Clooney Begged For Open Borders…Now Massive Refugee Camp Is Erected In His Front Yard
11664,fake,nb,1,politics,878,207,False,"FEDS, CA STATE OFFICIALS IGNORED OROVILLE DAM WARNINGS…While Obama, CA Gov Brown Obsessed Over Spending $15 BILLION To Dig Two Controversial Tunnels"
12080,fake,lr,1,politics,307,79,False,PRESIDENT-ELECT TRUMP’S INAUGURAL COMMITTEE Announces Schedule Of Events
17121,fake,nb,1,US_News,828,223,False,How Trump is Accelerating the Decline of US Global Influence
16169,fake,nb,1,Government News,546,177,False,BUDGET VOTE TODAY! You’ll Flip Out When You See The List Of Pork In This Bill – Call DC!
16370,fake,nb,1,Government News,332,111,False,NSA ARCHITECT: NSA SNOOPING EXPIRES BUT FEDS WILL CONTINUE SURVEILLANCE OF AMERICANS’ PHONE RECORDS
5442,fake,nb,1,News,423,110,False, Federal Court Bans US Navy From Using Sonar That Harms Marine Mammals
9310,fake,nb,1,politics,403,123,False,JUST IN: Flynn to Plead Guilty to Lying to the FBI
7616,fake,nb,1,News,646,220,False, Benjamin Netanyahu Just Snubbed Obama AGAIN – And In The Scummiest Way Possible
3444,fake,nb,1,News,559,199,False, Electors Want Briefing On Russian Interference Before Electoral College Vote This Month
